Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
768,netral,kekayaan pak jokowi salah satunya asset tanah dan property tiap tahun harganya naik,kekayaan jokowi salah satunya asset tanah property harganya,kaya jokowi salah satu asset tanah property harga
769,netral,calon presiden capres nomor urut 1 joko widodo menjawab pendapat calon presiden nomor urut 2 prabowo bahwa pengelolaan ekonomi indonesia saat ini salah arah,calon presiden capres nomor urut 1 joko widodo pendapat calon presiden nomor urut 2 prabowo pengelolaan ekonomi indonesia salah arah,calon presiden capres nomor urut 1 joko widodo dapat calon presiden nomor urut 2 prabowo kelola ekonomi indonesia salah arah
770,negatif,kamu yang goblok game2 itu banyak dimain sama anak2 pengaruhnya bagi ekonomi yang pasti adasecara tidak langsung anak2 sekarang lebih sukamain game menghilangkan niat kreatifitas dan aktifiktasyg ujung2nya ke sdm pada periode 2 kedepan jokowi akan fokus ke sdm,goblok game2 dimain anak2 pengaruhnya ekonomi adasecara tidak langsung anak2 sukamain game menghilangkan niat kreatifitas aktifiktasyg ujung2nya sdm periode 2 kedepan jokowi fokus sdm,goblok game2 main anak2 pengaruh ekonomi adasecara tidak langsung anak2 sukamain game hilang niat kreatifitas aktifiktasyg ujung2nya sdm periode 2 depan jokowi fokus sdm
771,negatif,coba ae cucumu jokowi ajarin setiap hari 12 jam main gamentar jadi apa mas anak cucumuayo ngegame masuk pelajaran sekolah kalau punya potensi ekonomi,coba ae cucumu jokowi ajarin 12 jam main gamentar mas anak cucumuayo ngegame masuk pelajaran sekolah potensi ekonomi,coba ae cucu jokowi ajarin 12 jam main gamentar mas anak cucumuayo ngegame masuk ajar sekolah potensi ekonomi
772,positif,cuaca cerah menyambut kedatangan presiden jokowi dan ibu iriana di bandara internasional king khalid riyadh arab saudi minggu 14 april 2019 pukul 0850 waktu setempat ws alhamdulillah orang yang selalu kalian hujat tapi beliau sangat dihargai dunia coblos01sudahterbukti yy pictwittercomsaivvlxo9s,cuaca cerah menyambut kedatangan presiden jokowi iriana bandara internasional king khalid riyadh arab saudi minggu 14 april 2019 0850 ws alhamdulillah orang hujat beliau dihargai dunia coblos01sudahterbukti yy pictwittercomsaivvlxo9s,cuaca cerah sambut datang presiden jokowi iriana bandara internasional king khalid riyadh arab saudi minggu 14 april 2019 0850 ws alhamdulillah orang hujat beliau harga dunia coblos01sudahterbukti yy pictwittercomsaivvlxo9s
773,positif,pak jokowi itu negarawan sejati semalam saya melihat pak jokowi sepenuh hati berusaha tidak merendahkan cara oposisi memahami permasalahan ekonomi sebuah institusi sebesar negara padahal jelas sekali cara pandang oposisi itu kekanakkanakan y,jokowi negarawan sejati semalam jokowi sepenuh hati berusaha tidak merendahkan oposisi memahami permasalahan ekonomi institusi negara pandang oposisi kekanakkanakan y,jokowi negarawan sejati malam jokowi sepenuh hati usaha tidak rendah oposisi paham masalah ekonomi institusi negara pandang oposisi kekanakkanakan y
774,netral,probowo menjawab bahwa masalah ekonomi di indonesia bukanlah salah jokowi bukansalahbapak,probowo ekonomi indonesia salah jokowi bukansalahbapak,probowo ekonomi indonesia salah jokowi bukansalahbapak
775,netral,jokowi mantabkan ekonomi prabowo salahkan masaa lalu a pictwittercom0auovjoh0n,jokowi mantabkan ekonomi prabowo salahkan masaa a pictwittercom0auovjoh0n,jokowi mantabkan ekonomi prabowo salah masaa a pictwittercom0auovjoh0n
776,negatif,paradoks saat tuduh prabowo pro radikal saat itu juga tuduh prabowo tidak hargai ijtimak ulama hadew,paradoks tuduh prabowo pro radikal tuduh prabowo tidak hargai ijtimak ulama hadew,paradoks tuduh prabowo pro radikal tuduh prabowo tidak harga ijtimak ulama hadew
777,positif,subhanallah baru kali ini dalam sejarah bangsa presiden wakilnya tidak mengambil hak gajinya rakyat harus tahu nihh jangan lupa kawal pemilu 2019 dengan baik2 rindupemimpincintaislam pictwittercomzy2ggj93fp,subhanallah kali sejarah bangsa presiden wakilnya tidak mengambil hak gajinya rakyat nihh lupa kawal pemilu 2019 baik2 rindupemimpincintaislam pictwittercomzy2ggj93fp,subhanallah kali sejarah bangsa presiden wakil tidak ambil hak gaji rakyat nihh lupa kawal milu 2019 baik2 rindupemimpincintaislam pictwittercomzy2ggj93fp
778,positif,keliling pasar cek harga beli petai tasbih ulama terakhir umrah menjelang pilpres kayaknya ada yang ngikut bang sandiuno nih uasdifitnahkejidanbrutal,keliling pasar cek harga beli petai tasbih ulama umrah menjelang pilpres kayaknya ngikut bang sandiuno nih uasdifitnahkejidanbrutal,keliling pasar cek harga beli petai tasbih ulama umrah jelang pilpres kayak ngikut bang sandiuno nih uasdifitnahkejidanbrutal
779,negatif,kalau ekonomi tidak naik bagaimana masyarakat bisa tumbuh aplgi merata karena anda jadi presiden hutang meningkat dan kami rakyat indonesia harus membayarnya secara merata rakyat dapat kartu pra kerja tapi tka china yang dapat kerjaan please kami sudah muak dengan anda,ekonomi tidak masyarakat tumbuh aplgi merata presiden hutang meningkat rakyat indonesia membayarnya merata rakyat kartu pra kerja tka china kerjaan please muak,ekonomi tidak masyarakat tumbuh aplgi rata presiden hutang tingkat rakyat indonesia bayar rata rakyat kartu pra kerja tka china kerja please muak
780,negatif,se7jokowi itu kelasnya mentok sbenernya gubernur itupun belum teruji bisa benar tidak urus ibu kota jakarta yang paling ngaco itu pendukung jokowi yang ngotot 2periode 45th kerja yang agak benar hanya infrastruktur itupunekonomi itu tidak selalu insfrastruktur ad instrumen yang lainnyayTM,se7jokowi kelasnya mentok sbenernya gubernur itupun teruji tidak urus kota jakarta ngaco pendukung jokowi ngotot 2periode 45th kerja infrastruktur itupunekonomi tidak insfrastruktur ad instrumen lainnyaytm,se7jokowi kelas mentok sbenernya gubernur itu uji tidak urus kota jakarta ngaco dukung jokowi ngotot 2periode 45th kerja infrastruktur itupunekonomi tidak insfrastruktur ad instrumen lainnyaytm
781,netral,memangnya pak jokowi ambil dari jadi walikota solo pak jokowi tidak pernah ambil gajih tapi di sumbangkan,memangnya jokowi ambil walikota solo jokowi tidak ambil gajih sumbangkan,memang jokowi ambil walikota solo jokowi tidak ambil gajih sumbang
782,positif,semua gaji prabowo sabdi akan di serahkan ke negara dan kaum duafa pemimpin yang mulia,gaji prabowo sabdi serahkan negara kaum duafa pemimpin mulia,gaji prabowo sabdi serah negara kaum duafa pimpin mulia
783,positif,dari sabang sampai meraukebhineka tunggal ikaberagam tapi tetap satu indonesiankri harus tetap dijaga dan idiologi pancasila sampai kapanpun tidak dapat dirubahharga mati,sabang meraukebhineka tunggal ikaberagam indonesiankri dijaga idiologi pancasila tidak dirubahharga mati,sabang meraukebhineka tunggal ikaberagam indonesiankri jaga idiologi pancasila tidak dirubahharga mati
784,negatif,kamu kok pilih jokowi sih mau kamu dibego2in lagi tidak liat apa harga pada naik iya harga pada naik tapi gaji saya juga naik gaji kamu tidak naik mungkin karena kerja kamu cuma ngabisin kopi di pantry kantor tidak heran,pilih jokowi sih dibego2in tidak liat harga iya harga gaji gaji tidak kerja ngabisin kopi pantry kantor tidak heran,pilih jokowi sih dibego2in tidak liat harga iya harga gaji gaji tidak kerja ngabisin kopi pantry kantor tidak heran
785,positif,kamu kalau tidak suka sama jokowi tidak gtu2 juga donk y belajarlah menghargai prestasi dan karya serta proses seseorang sampai menjadi pemimpin nah baru belajar tweet politik y s tapi susah juga ya namanya tidak suka mau diapain juga tidak suka y y,tidak suka jokowi tidak gtu2 donk y belajarlah menghargai prestasi karya proses pemimpin belajar tweet politik y s susah ya namanya tidak suka diapain tidak suka y y,tidak suka jokowi tidak gtu2 donk y bajar harga prestasi karya proses pimpin ajar tweet politik y s susah ya nama tidak suka diapain tidak suka y y
786,netral,mahar sederhana terimakasihistriku jokowi dan iriana menikah pada 24 desember 1986 di solo mahar pernikahan jokowi dan iriana sederhana mahar berupa alat salat alquran dan cincin kawin harga cincin kawin kala itu rp 24 ribu,mahar sederhana terimakasihistriku jokowi iriana menikah 24 desember 1986 solo mahar pernikahan jokowi iriana sederhana mahar alat salat alquran cincin kawin harga cincin kawin rp 24 ribu,mahar sederhana terimakasihistriku jokowi iriana meni 24 desember 1986 solo mahar nikah jokowi iriana sederhana mahar alat salat alquran cincin kawin harga cincin kawin rp 24 ribu
787,positif,nampaknya cara sandiuno ini sudah ditungguin oleh jokowi karena tipenya dari debat 1 selalu menyebut contoh ekonomi dengan nama ibu2 begitu di debat ini sandi mulai melayangkan bola langsung di smesh oleh jokowigame over skak matt mantul pak ekoy a,nampaknya sandiuno ditungguin jokowi tipenya debat 1 menyebut contoh ekonomi nama ibu2 debat sandi melayangkan bola langsung smesh jokowigame over skak matt mantul ekoy a,nampaknya sandiuno ditungguin jokowi tipe debat 1 sebut contoh ekonomi nama ibu2 debat sandi layang bola langsung smesh jokowigame over skak matt mantul ekoy a
788,negatif,gaji prbwo sandi hanya 65jt buat kaum duafa tapi uang tilep ratusan milyar masuk kantong pribadi ya aduh miris,gaji prbwo sandi 65jt kaum duafa uang tilep ratusan milyar masuk kantong pribadi ya aduh miris,gaji prbwo sandi 65jt kaum duafa uang tilep ratus milyar masuk kantong pribadi ya aduh miris
789,positif,sudah betul pak prabowo tidak mau jawab langsung biar cawapres yang jawabkarena masalah itu tidak fundamental secara ekonomitapi berhubung si jae masih ngotot terus ya sesi kedua di jawab prabowo masalah itu tidak penting yang penting kesejahteraan rakyat termasuk pertanian,prabowo tidak langsung biar cawapres jawabkarena tidak fundamental ekonomitapi berhubung si jae ngotot ya sesi prabowo tidak kesejahteraan rakyat pertanian,prabowo tidak langsung biar cawapres jawabkarena tidak fundamental ekonomitapi hubung si jae ngotot ya sesi prabowo tidak sejahtera rakyat tani
790,netral,dampak ekonomi tidak langsung asian games 2018 meliputi tahap konstruksi operasional penyelenggaraan kedatangan pengunjung berkontribusi pada pertumbuhan pdb dan nilai tambah ekonomi peningkatan output sektor penyerapan tenaga kerja peningkatan pendapatan riil jokowi hebat,dampak ekonomi tidak langsung asian games 2018 meliputi tahap konstruksi operasional penyelenggaraan kedatangan pengunjung berkontribusi pertumbuhan pdb nilai ekonomi peningkatan output sektor penyerapan tenaga kerja peningkatan pendapatan riil jokowi hebat,dampak ekonomi tidak langsung asi games 2018 liput tahap konstruksi operasional selenggara datang unjung kontribusi tumbuh pdb nilai ekonomi tingkat output sektor serap tenaga kerja tingkat dapat riil jokowi hebat
791,positif,saya sangat mendukung jokowi seumur hidup jadi presiden bahkan 7 turunannya saya pilih terus jika jadi gamers itu bisa memberantas pengangguran diindonesia siapa yang tidak mau kerjanya cuma tidur2an pegang hp dapat gaji,mendukung jokowi seumur hidup presiden 7 turunannya pilih gamers memberantas pengangguran diindonesia tidak kerjanya tidur2an pegang hp gaji,dukung jokowi umur hidup presiden 7 turun pilih gamers berantas anggur indonesia tidak kerja tidur2an pegang hp gaji
792,positif,trimakasih kemenpu trimakasih tni ad trimakasih jokowi prjuangan yang luar biasa yy pelan tapi pasti alhmdllh masy di ujung ind bisa merasakan manfaat adanya infrastruktur ikut senang kalau pajak yang kita bayar ke negara dipakai untuk hal2 seperti ini yTM,trimakasih kemenpu trimakasih tni ad trimakasih jokowi prjuangan yy pelan alhmdllh masy ujung ind merasakan manfaat infrastruktur senang pajak bayar negara dipakai hal2 ytm,trimakasih kemenpu trimakasih tni ad trimakasih jokowi prjuangan yy pelan alhmdllh masy ujung ind rasa manfaat infrastruktur senang pajak bayar negara pakai hal2 ytm
793,netral,mosyantax demokrat minta prabowo hargai kontribusi presiden keenam sby mosyanorganizer mosyancc,mosyantax demokrat prabowo hargai kontribusi presiden keenam sby mosyanorganizer mosyancc,mosyantax demokrat prabowo harga kontribusi presiden enam sby mosyanorganizer mosyancc
794,positif,ekonomi tidak sekedar bertumbuh iyaatapi bertambah,ekonomi tidak sekedar bertumbuh iyaatapi bertambah,ekonomi tidak dar tumbuh iyaatapi tambah
795,netral,prabowo salahkan presiden sebelum jokowi ahy minta hargai kontribusi sby sourcedlvritutm mediumtwittera a pictwittercomwm7wjxzxb1,prabowo salahkan presiden jokowi ahy hargai kontribusi sby sourcedlvritutm mediumtwittera a pictwittercomwm7wjxzxb1,prabowo salah presiden jokowi ahy harga kontribusi sby sourcedlvritutm mediumtwittera a pictwittercomwm7wjxzxb1
796,positif,belum ada pemimpin negara presiden dan wakilnya yang menyerahkan gajinya kepada rakyat untuk keperluan rakyatnya seperti prabowo,pemimpin negara presiden wakilnya menyerahkan gajinya rakyat keperluan rakyatnya prabowo,pimpin negara presiden wakil serah gaji rakyat perlu rakyat prabowo
797,negatif,penghasilan pak jokowi dari bisnis meubelnya jauh lebih besar dari gaji presidennya paling kamu hanya bisa membodohi kaum kampret,penghasilan jokowi bisnis meubelnya gaji presidennya membodohi kaum kampret,hasil jokowi bisnis meubelnya gaji presiden bodoh kaum kampret
798,positif,dampak ekonomi tidak langsung asian games 2018 meliputi tahap konstruksi operasional penyelenggaraan kedatangan pengunjung berkontribusi pada pertumbuhan pdb nilai tambah ekonomi peningkatan output sektor penyerapan tenaga kerja peningkatan pendapatan riil jokowi hebat,dampak ekonomi tidak langsung asian games 2018 meliputi tahap konstruksi operasional penyelenggaraan kedatangan pengunjung berkontribusi pertumbuhan pdb nilai ekonomi peningkatan output sektor penyerapan tenaga kerja peningkatan pendapatan riil jokowi hebat,dampak ekonomi tidak langsung asi games 2018 liput tahap konstruksi operasional selenggara datang unjung kontribusi tumbuh pdb nilai ekonomi tingkat output sektor serap tenaga kerja tingkat dapat riil jokowi hebat
799,positif,kalau janji gaji tidak diambil yang bgawal ulama benar kurang apa lagi coba tps lah 17apriltps tusuk prabowo sandi,janji gaji tidak diambil bgawal ulama coba tps 17apriltps tusuk prabowo sandi,janji gaji tidak ambil bgawal ulama coba tps 17apriltps tusuk prabowo sandi
800,netral,demokrat minta prabowo hargai kontribusi presiden keenam sby,demokrat prabowo hargai kontribusi presiden keenam sby,demokrat prabowo harga kontribusi presiden enam sby
801,negatif,jokowi apa yang akan bapak lakukan untuk pengembangan esport mobile legend kedepan prabowo tingkatkan produksi pertanian tingkatkan kualitas buruh turunkan harga itu yang akan saya fokus saya y y y,jokowi lakukan pengembangan esport mobile legend kedepan prabowo tingkatkan produksi pertanian tingkatkan kualitas buruh turunkan harga fokus y y y,jokowi laku kembang esport mobile legend depan prabowo tingkat produksi tani tingkat kualitas buruh turun harga fokus y y y
802,netral,bumn benteng ekonomi negara prabowo,bumn benteng ekonomi negara prabowo,bumn benteng ekonomi negara prabowo
803,netral,jokowi tegaskan nkri dan bhineka tunggal ika harga mati pancasilahargamati lestarikanpancasila a,jokowi tegaskan nkri bhineka tunggal ika harga mati pancasilahargamati lestarikanpancasila a,jokowi tegas nkri bhineka tunggal ika harga mati pancasilahargamati lestarikanpancasila a
804,positif,sahabat asykar moesa jika bapak prabowo subianto dan bapak sandiaga salahuddin uno terpilih menjadi presiden dan wakil presiden mereka akan menyumbangkan gaji mereka ke kaum dhuafa dan tidak akan menerima sepeserpun luar biasa komitmen mereka berdua yasy,sahabat asykar moesa prabowo subianto sandiaga salahuddin uno terpilih presiden wakil presiden menyumbangkan gaji kaum dhuafa tidak menerima sepeserpun komitmen berdua yasy,sahabat asykar moesa prabowo subianto sandiaga salahuddin uno pilih presiden wakil presiden sumbang gaji kaum dhuafa tidak terima peser komitmen dua yasy
805,netral,masa tenang prabowo minta didoain ulama warta ekonomi a,tenang prabowo didoain ulama warta ekonomi a,tenang prabowo didoain ulama warta ekonomi a
806,positif,amin ya allah berilah kesempatan kepada pak prabowo dan bang sandiuno memimpin indonesia dan berilah kesempatan kepada pak ramlirizal untuk membantu memperbaiki ekonomi indonesia amin,amin ya allah berilah kesempatan prabowo bang sandiuno memimpin indonesia berilah kesempatan ramlirizal membantu memperbaiki ekonomi indonesia amin,amin ya allah ilah sempat prabowo bang sandiuno pimpin indonesia ilah sempat ramlirizal bantu baik ekonomi indonesia amin
807,negatif,y y sandi sandi masa tidak bisa bdain ekonomi makro dengan mikro,y y sandi sandi tidak bdain ekonomi makro mikro,y y sandi sandi tidak bdain ekonomi makro mikro
808,negatif,sekarng saja sudah sangat timpang45 tahun tidur kali ya rakyat terpecah belamau 2 priode jaman sby rakyat adem ademekonomi berjalan dengan baik,sekarng timpang45 tidur kali ya rakyat terpecah belamau 2 priode jaman sby rakyat adem ademekonomi berjalan,sekarng timpang45 tidur kali ya rakyat pecah belamau 2 priode jaman sby rakyat adem ademekonomi jalan
809,positif,jujur akupun tidak tahu bedanya ekonomi makro dan ekonomi mikro ketika sekua orang memperdebatkan salahnya pak sandiaga uno dan di sanggah pak jokowi saya lho diam soalnya tidak mudeng,jujur akupun tidak bedanya ekonomi makro ekonomi mikro sekua orang memperdebatkan salahnya sandiaga uno sanggah jokowi lho diam tidak mudeng,jujur aku tidak beda ekonomi makro ekonomi mikro sekua orang debat salah sandiaga uno sanggah jokowi lho diam tidak mudeng
810,negatif,kalau ngnggur saja digajih ngapain harus capek2 kerja yTM,ngnggur digajih ngapain capek2 kerja ytm,ngnggur gajih ngapain capek2 kerja ytm
811,negatif,kalau orang korea singapore australia mau jokowi silahkan ambil faktanya di jaman beliau pertumbuhan ekonomi melambat laju penurunan masy miskin melambat rekor terburuk defisit neraca perdagangan,orang korea singapore australia jokowi silahkan ambil faktanya jaman beliau pertumbuhan ekonomi melambat laju penurunan masy miskin melambat rekor terburuk defisit neraca perdagangan,orang korea singapore australia jokowi silah ambil fakta jaman beliau tumbuh ekonomi lambat laju turun masy miskin lambat rekor buruk defisit neraca dagang
812,negatif,bocor2 dan si sandi oke oke yang bankrut dan keluhan 1 2 orang selalu dijadikan referensi ekonomi yang 265 juta orang akal sehatnya sudah hilang,bocor2 si sandi oke oke bankrut keluhan 1 2 orang dijadikan referensi ekonomi 265 juta orang akal sehatnya hilang,bocor2 si sandi oke oke bankrut keluh 1 2 orang jadi referensi ekonomi 265 juta orang akal sehat hilang
813,positif,di debat terakhir jokowi menasehati paslon 02 soal pengelolaan ekonomi makro ini membuktikan bahwa jokowi menguasai persoalan ekonomi 01jokowiamin jokowimenangtotaldebat marthinlase4 totosudarmongi alvinolulu a,debat jokowi menasehati paslon 02 pengelolaan ekonomi makro membuktikan jokowi menguasai ekonomi 01jokowiamin jokowimenangtotaldebat marthinlase4 totosudarmongi alvinolulu a,debat jokowi nasehat paslon 02 kelola ekonomi makro bukti jokowi kuasa ekonomi 01jokowiamin jokowimenangtotaldebat marthinlase4 totosudarmongi alvinolulu a
814,negatif,pertumbuhan ekonomi apa gaji saja tidak naik,pertumbuhan ekonomi gaji tidak,tumbuh ekonomi gaji tidak
815,negatif,goblok kok dipelihara sekarang jamannya industri kreatif bro kamu tahu tidak omzet pemilik komik si juki berapa bisa sampai ratusan juta per bulannya woii lah kamu digaji berapa kamu pengangguran kan ya kasihan makanya komik si juki layak diapresiasi presiden jokowi,goblok dipelihara jamannya industri kreatif bro tidak omzet pemilik komik si juki ratusan juta bulannya woii digaji pengangguran ya kasihan komik si juki layak diapresiasi presiden jokowi,goblok pelihara jaman industri kreatif bro tidak omzet milik komik si juki ratus juta bulan woii gaji anggur ya kasihan komik si juki layak apresiasi presiden jokowi
816,positif,70 tahun merdeka harga bbm bisa sama sampai papua yang bikin ya jokowi melawan para mafia itu dulu satu kalau ku jelaskan banyak yang dilakukan jokowi nanti nyinyir pade,70 merdeka harga bbm papua bikin ya jokowi melawan mafia ku jokowi nyinyir pade,70 merdeka harga bbm papua bikin ya jokowi lawan mafia ku jokowi nyinyir pade
817,negatif,antek asing pki ekonomi amburadul harga2 naik raja hutang plongaplongo sekolamblablablay y berisik kamu prabowo bilang bukan salah jokowi klean lebih prabowo daripada prabowoy y 3y bukansalahbapak pictwittercomu3if7loymh,antek asing pki ekonomi amburadul harga2 raja hutang plongaplongo sekolamblablablay y berisik prabowo bilang salah jokowi klean prabowo prabowoy y 3y bukansalahbapak pictwittercomu3if7loymh,antek asing pki ekonomi amburadul harga2 raja hutang plongaplongo sekolamblablablay y berisik prabowo bilang salah jokowi klean prabowo prabowoy y 3y bukansalahbapak pictwittercomu3if7loymh
818,negatif,maaf pak kalau tidak bisa memenuhi janji bapak tahun 2014 tentang pertumbuhan ekonomi indonesia lebih baik bapak jangan pakai cara ngeles dengan berbagai alasan hanya perlu minta maaf saja pak terimakasih,maaf tidak memenuhi janji 2014 pertumbuhan ekonomi indonesia pakai ngeles alasan maaf terimakasih,maaf tidak penuh janji 2014 tumbuh ekonomi indonesia pakai ngeles alas maaf terimakasih
819,positif,mobile legend bagian dari esport di game online kalau diangkat ke debat capres tentu artinya penting dalam scope ekonomi kreatif dan pentingnya pengadaan platform internet oleh pemerintah it makes sense jokowi visioner pak yTM,mobile legend esport game online diangkat debat capres scope ekonomi kreatif pengadaan platform internet pemerintah it makes sense jokowi visioner ytm,mobile legend esport game online angkat debat capres scope ekonomi kreatif ada platform internet perintah it makes sense jokowi visioner ytm
820,negatif,dibanding sekarang zaman soeharto ketimpangan ekonomi tidak sesadis sekarang,dibanding zaman soeharto ketimpangan ekonomi tidak sesadis,banding zaman soeharto timpang ekonomi tidak sad
821,negatif,akibat bapak jokowi hutang import amburadul ekonomi tidak bertumbuh rakyat tidak punya duit buat makan atau jajan rakyatnya disuruh main mobile legend saja presidensontoloyo,akibat jokowi hutang import amburadul ekonomi tidak bertumbuh rakyat tidak duit makan jajan rakyatnya disuruh main mobile legend presidensontoloyo,akibat jokowi hutang import amburadul ekonomi tidak tumbuh rakyat tidak duit makan jajan rakyat suruh main mobile legend presidensontoloyo
822,negatif,ekonomi kita salah arah yang disalahkn wowo presiden sebelumnya ada banyak presiden seblm pak jokowi kira2 siapa yang dimaksud saya pribadi jelas itu sbyudhoyono ini buktinya sejak 2009 dan 2014 wowo sudah menyalahkn sbya rachlannashidik agusyudhoyono bukansalahbapak pictwittercomzh7jlkvjbz,ekonomi salah arah disalahkn wowo presiden presiden seblm jokowi kira2 pribadi sbyudhoyono buktinya 2009 2014 wowo menyalahkn sbya rachlannashidik agusyudhoyono bukansalahbapak pictwittercomzh7jlkvjbz,ekonomi salah arah disalahkn wowo presiden presiden seblm jokowi kira2 pribadi sbyudhoyono bukti 2009 2014 wowo menyalahkn sbya rachlannashidik agusyudhoyono bukansalahbapak pictwittercomzh7jlkvjbz
823,netral,maksimal itu dari rakyat yang membayar pajak harga rendah coba pikir 2 kali,maksimal rakyat membayar pajak harga rendah coba pikir 2 kali,maksimal rakyat bayar pajak harga rendah coba pikir 2 kali
824,negatif,ucapan ataupun pernyataan bowo mengenai kesalahan orientasi ekonomi negeri ini yang kemudian ditujukan ke presiden sebelum jokowi sungguh membuat luka tersendiri untuk demokrat prabowosalahkansby,ucapan pernyataan bowo kesalahan orientasi ekonomi negeri presiden jokowi sungguh luka tersendiri demokrat prabowosalahkansby,ucap nyata bowo salah orientasi ekonomi negeri presiden jokowi sungguh luka sendiri demokrat prabowosalahkansby
825,negatif,mungkin prabowo meneladani karyawan ptkiani konon sudah lama juga tidak ambil gaji apa benar,prabowo meneladani karyawan ptkiani konon tidak ambil gaji,prabowo teladan karyawan ptkiani konon tidak ambil gaji
826,netral,jika menang pilpres prabowo dan sandiaga pastikan tak akan ambil gaji sourcefacebookutm mediumfputm campaignoxtaa a,menang pilpres prabowo sandiaga pastikan ambil gaji sourcefacebookutm mediumfputm campaignoxtaa a,menang pilpres prabowo sandiaga pasti ambil gaji sourcefacebookutm mediumfputm campaignoxtaa a
827,netral,yang tidak menghargai bukan pak jokowi bang andi,tidak menghargai jokowi bang andi,tidak harga jokowi bang andi
828,negatif,bowo dalam debat mengatakan orientasi ekonomi indonesia tidak berada di jalur yang benar meskipun mengatakan itu dirinya tidak menyalahkan jokowi namun para pemimpin sebelum jokowi a prabowosalahkansby,bowo debat orientasi ekonomi indonesia tidak jalur tidak menyalahkan jokowi pemimpin jokowi a prabowosalahkansby,bowo debat orientasi ekonomi indonesia tidak jalur tidak salah jokowi pimpin jokowi a prabowosalahkansby
829,positif,nyo buka youtube dengar sekali lagi yang ditanyain pak jokowi yang jadi pembahasan awal kan bukan masalah e sport tapi pokok utamanya adl ekonomi digital dan mobile legend cuma jadi salah satu contoh,nyo buka youtube dengar ditanyain jokowi pembahasan e sport pokok utamanya adl ekonomi digital mobile legend salah contoh,nyo buka youtube dengar ditanyain jokowi bahas e sport pokok utama adl ekonomi digital mobile legend salah contoh
830,negatif,bung bowo menyebut kesalahan arah ekonomi indonesia tidak semata salah jokowi tetapi juga presidenpresiden sebelumnya a prabowosalahkansby,bowo menyebut kesalahan arah ekonomi indonesia tidak salah jokowi presidenpresiden a prabowosalahkansby,bowo sebut salah arah ekonomi indonesia tidak salah jokowi presidenpresiden a prabowosalahkansby
831,netral,sandiuno prabowo mardanialisera fadlizon bersama pak prabowo dan bang sandiuno kami akan turunkan harga listrik dan kebutuhan yang terjangkau tanpa mengeluarkan kartu kartu baru prabowosandiokbanget 02menangdebat 2019gantipresiden aagympilihpr,sandiuno prabowo mardanialisera fadlizon prabowo bang sandiuno turunkan harga listrik kebutuhan terjangkau mengeluarkan kartu kartu prabowosandiokbanget 02menangdebat 2019gantipresiden aagympilihpr,sandiuno prabowo mardanialisera fadlizon prabowo bang sandiuno turun harga listrik butuh jangkau keluar kartu kartu prabowosandiokbanget 02menangdebat 2019gantipresiden aagympilihpr
832,negatif,dan perut rakyat tidak bisa di isi dengan kartu semata ekonomi itu tidak sekedar meroket ape lagi tekoryy,perut rakyat tidak isi kartu ekonomi tidak sekedar meroket ape tekoryy,perut rakyat tidak isi kartu ekonomi tidak dar roket ape tekoryy
833,positif,jokowi harga mati seprti nkri,jokowi harga mati seprti nkri,jokowi harga mati seprti nkri
834,netral,wah niru capressnya nih tidak menghargai presiden sebelum pak jokowi jejeran artis lainya tidak disebut oom kasihan mereka sudah all out,niru capressnya nih tidak menghargai presiden jokowi jejeran artis lainya tidak oom kasihan all out,niru capressnya nih tidak harga presiden jokowi jejer artis lai tidak oom kasihan all out
835,netral,prabowosandi tak akan ambil gaji sepeser pun jika terpilih menjadi presiden,prabowosandi ambil gaji sepeser terpilih presiden,prabowosandi ambil gaji peser pilih presiden
836,netral,1 interest prabowo adalah pada kesejahteraan rakyat technologi adalah alat untuk mencapai itu 2 jokowi hanya mencoba menonjolkan pengetahuannya tentang makro ekonomi yang tidak lengkap dan tampal baru saja dia ketahui 3 untuk jokowi digitech adalah tujuan,1 interest prabowo kesejahteraan rakyat technologi alat mencapai 2 jokowi mencoba menonjolkan pengetahuannya makro ekonomi tidak lengkap tampal ketahui 3 jokowi digitech tujuan,1 interest prabowo sejahtera rakyat technologi alat capai 2 jokowi coba tonjol tahu makro ekonomi tidak lengkap tampal tahu 3 jokowi digitech tuju
837,negatif,coba cek ktp anda ada tulisan status ekonomi tidak kaya atau miskin terus status pekerjaan atau pengangguran alamat rumah asli atau kontrakan karena itulah kita butuh kartu2 lain sebelum e ktp disempurnakan kalian kok gampang ditipu sih polos atau bodoh,coba cek ktp tulisan status ekonomi tidak kaya miskin status pekerjaan pengangguran alamat rumah asli kontrakan butuh kartu2 e ktp disempurnakan gampang ditipu sih polos bodoh,coba cek ktp tulis status ekonomi tidak kaya miskin status kerja anggur alamat rumah asli kontra butuh kartu2 e ktp sempurna gampang tipu sih polos bodoh
838,netral,persoalan ekonomi indonesia bukanlah kesalahan jokowi 3 kali pernyataan itu ditegaskan oleh prabowosalahkansby sudah jelas sekali,ekonomi indonesia kesalahan jokowi 3 kali pernyataan prabowosalahkansby,ekonomi indonesia salah jokowi 3 kali nyata prabowosalahkansby
